Departure datetime,Arrival datetime,Origin,Destination,Airline(s),Travel Time,Price ($),Num Stops,Layover,Access Date,CO2 Emission (kg),Emission Diff (%)
2024-06-02 15:30:00,2024-06-02 17:40:00,CAI,JED,FlyEgypt,2 hr 10 min,97.0,0,,2024-05-27,117.0,0.0
2024-06-02 15:35:00,2024-06-02 18:00:00,CAI,JED,Flynas,2 hr 25 min,99.0,0,,2024-05-27,97.0,-16.0
2024-06-02 06:00:00,2024-06-02 08:10:00,CAI,JED,Air Arabia Egypt,2 hr 10 min,103.0,0,,2024-05-27,117.0,0.0
2024-06-02 20:05:00,2024-06-02 22:25:00,CAI,JED,Air Cairo,2 hr 20 min,104.0,0,,2024-05-27,113.0,0.0
2024-06-02 03:50:00,2024-06-02 06:00:00,CAI,JED,FlyEgypt,2 hr 10 min,113.0,0,,2024-05-27,117.0,0.0
2024-06-02 14:10:00,2024-06-02 16:30:00,CAI,JED,Air Cairo,2 hr 20 min,118.0,0,,2024-05-27,115.0,0.0
2024-06-02 01:15:00,2024-06-02 03:40:00,CAI,JED,Flynas,2 hr 25 min,120.0,0,,2024-05-27,97.0,-16.0
2024-06-02 04:20:00,2024-06-02 06:40:00,CAI,JED,Air Cairo,2 hr 20 min,127.0,0,,2024-05-27,115.0,0.0
2024-06-02 12:45:00,2024-06-02 15:00:00,CAI,JED,Nile Air,2 hr 15 min,140.0,0,,2024-05-27,110.0,0.0
2024-06-02 17:50:00,2024-06-02 20:10:00,CAI,JED,Saudia,2 hr 20 min,157.0,0,,2024-05-27,118.0,0.0
2024-06-02 20:50:00,2024-06-02 23:10:00,CAI,JED,Saudia,2 hr 20 min,157.0,0,,2024-05-27,115.0,0.0
2024-06-02 00:55:00,2024-06-02 03:15:00,CAI,JED,Saudia,2 hr 20 min,191.0,0,,2024-05-27,115.0,0.0
2024-06-02 03:45:00,2024-06-02 06:05:00,CAI,JED,Saudia,2 hr 20 min,191.0,0,,2024-05-27,115.0,0.0
